State,County,"Deaths per 100,000",Gender,Race/Ethnicity,Geographical Coordinates
AK,"Aleutians East, AK",105.3,Overall,Overall,"(55.440626, -161.962562)"
AK,"Aleutians West, AK",211.9,Overall,Overall,"(52.995403, -170.251538)"
AK,"Anchorage, AK",257.9,Overall,Overall,"(61.159049, -149.103905)"
AK,"Bethel, AK",351.6,Overall,Overall,"(60.924483, -159.749655)"
AK,"Denali, AK",305.5,Overall,Overall,"(63.678399, -149.962076)"
AK,"Dillingham, AK",411.6,Overall,Overall,"(59.803151, -158.181608)"
AK,"Fairbanks North Star, AK",305.7,Overall,Overall,"(64.809327, -146.586265)"
AK,"Haines, AK",295.7,Overall,Overall,"(59.140721, -135.513878)"
AK,"Juneau, AK",295.7,Overall,Overall,"(58.478434, -134.150437)"
AK,"Kenai Peninsula, AK",299.4,Overall,Overall,"(60.271254, -151.556972)"
AK,"Ketchikan Gateway, AK",326.8,Overall,Overall,"(55.559161, -131.351892)"
AK,"Kodiak Island, AK",274.8,Overall,Overall,"(57.715045, -153.83609)"
AK,"Lake and Peninsula, AK",387.0,Overall,Overall,"(58.652287, -156.184325)"
AK,"Matanuska-Susitna, AK",244.7,Overall,Overall,"(62.31628, -149.600476)"
AK,"Nome, AK",378.8,Overall,Overall,"(64.90346, -163.947945)"
AK,"North Slope, AK",327.4,Overall,Overall,"(69.309889, -153.398986)"
AK,"Northwest Arctic, AK",338.3,Overall,Overall,"(67.065111, -159.726506)"
AK,"Sitka, AK",261.9,Overall,Overall,"(57.237666, -135.284752)"
AK,"Southeast Fairbanks, AK",290.0,Overall,Overall,"(63.867414, -143.22069)"
AK,"Valdez-Cordova, AK",267.9,Overall,Overall,"(61.536161, -144.339956)"
AK,"Wade Hampton, AK",377.4,Overall,Overall,"(62.159714, -163.349484)"
AK,"Yukon-Koyukuk, AK",297.8,Overall,Overall,"(65.50404, -151.41038)"
AK,"Aleutians West, AK",347.9,Male,Overall,"(52.995403, -170.251538)"
AK,"Anchorage, AK",332.1,Male,Overall,"(61.159049, -149.103905)"
AK,"Bethel, AK",489.8,Male,Overall,"(60.924483, -159.749655)"
AK,"Denali, AK",401.2,Male,Overall,"(63.678399, -149.962076)"
AK,"Dillingham, AK",569.0,Male,Overall,"(59.803151, -158.181608)"
AK,"Fairbanks North Star, AK",401.2,Male,Overall,"(64.809327, -146.586265)"
AK,"Haines, AK",408.1,Male,Overall,"(59.140721, -135.513878)"
AK,"Juneau, AK",368.0,Male,Overall,"(58.478434, -134.150437)"
AK,"Kenai Peninsula, AK",367.1,Male,Overall,"(60.271254, -151.556972)"
AK,"Ketchikan Gateway, AK",496.9,Male,Overall,"(55.559161, -131.351892)"
AK,"Kodiak Island, AK",396.0,Male,Overall,"(57.715045, -153.83609)"
AK,"Lake and Peninsula, AK",526.8,Male,Overall,"(58.652287, -156.184325)"
AK,"Matanuska-Susitna, AK",306.3,Male,Overall,"(62.31628, -149.600476)"
AK,"Nome, AK",503.6,Male,Overall,"(64.90346, -163.947945)"
AK,"North Slope, AK",452.7,Male,Overall,"(69.309889, -153.398986)"
AK,"Northwest Arctic, AK",453.6,Male,Overall,"(67.065111, -159.726506)"
AK,"Sitka, AK",312.0,Male,Overall,"(57.237666, -135.284752)"
AK,"Southeast Fairbanks, AK",345.1,Male,Overall,"(63.867414, -143.22069)"
AK,"Valdez-Cordova, AK",332.2,Male,Overall,"(61.536161, -144.339956)"
AK,"Wade Hampton, AK",507.9,Male,Overall,"(62.159714, -163.349484)"
AK,"Yukon-Koyukuk, AK",387.9,Male,Overall,"(65.50404, -151.41038)"
AK,"Anchorage, AK",196.5,Female,Overall,"(61.159049, -149.103905)"
AK,"Bethel, AK",218.9,Female,Overall,"(60.924483, -159.749655)"
AK,"Denali, AK",212.9,Female,Overall,"(63.678399, -149.962076)"
AK,"Dillingham, AK",260.4,Female,Overall,"(59.803151, -158.181608)"
AK,"Fairbanks North Star, AK",212.2,Female,Overall,"(64.809327, -146.586265)"
AK,"Haines, AK",228.2,Female,Overall,"(59.140721, -135.513878)"
AK,"Juneau, AK",228.2,Female,Overall,"(58.478434, -134.150437)"
AK,"Kenai Peninsula, AK",213.9,Female,Overall,"(60.271254, -151.556972)"
AK,"Ketchikan Gateway, AK",164.3,Female,Overall,"(55.559161, -131.351892)"
AK,"Kodiak Island, AK",174.5,Female,Overall,"(57.715045, -153.83609)"
AK,"Lake and Peninsula, AK",226.9,Female,Overall,"(58.652287, -156.184325)"
AK,"Matanuska-Susitna, AK",199.4,Female,Overall,"(62.31628, -149.600476)"
AK,"Nome, AK",279.0,Female,Overall,"(64.90346, -163.947945)"
AK,"North Slope, AK",227.7,Female,Overall,"(69.309889, -153.398986)"
AK,"Northwest Arctic, AK",242.5,Female,Overall,"(67.065111, -159.726506)"
AK,"Sitka, AK",213.3,Female,Overall,"(57.237666, -135.284752)"
AK,"Skagway-Hoonah-Angoon, AK",181.2,Female,Overall,"(58.268082, -135.254153)"
AK,"Southeast Fairbanks, AK",199.8,Female,Overall,"(63.867414, -143.22069)"
AK,"Valdez-Cordova, AK",202.0,Female,Overall,"(61.536161, -144.339956)"
AK,"Wade Hampton, AK",255.8,Female,Overall,"(62.159714, -163.349484)"
AK,"Yukon-Koyukuk, AK",208.6,Female,Overall,"(65.50404, -151.41038)"
AK,"Anchorage, AK",253.4,Overall,White,"(61.159049, -149.103905)"
AK,"Bethel, AK",293.2,Overall,White,"(60.924483, -159.749655)"
AK,"Denali, AK",309.2,Overall,White,"(63.678399, -149.962076)"
AK,"Fairbanks North Star, AK",309.2,Overall,White,"(64.809327, -146.586265)"
AK,"Haines, AK",259.5,Overall,White,"(59.140721, -135.513878)"
AK,"Juneau, AK",259.5,Overall,White,"(58.478434, -134.150437)"
AK,"Kenai Peninsula, AK",289.9,Overall,White,"(60.271254, -151.556972)"
AK,"Ketchikan Gateway, AK",354.4,Overall,White,"(55.559161, -131.351892)"
AK,"Kodiak Island, AK",288.5,Overall,White,"(57.715045, -153.83609)"
AK,"Lake and Peninsula, AK",327.0,Overall,White,"(58.652287, -156.184325)"
AK,"Matanuska-Susitna, AK",253.5,Overall,White,"(62.31628, -149.600476)"
AK,"North Slope, AK",126.0,Overall,White,"(69.309889, -153.398986)"
AK,"Sitka, AK",241.8,Overall,White,"(57.237666, -135.284752)"
AK,"Southeast Fairbanks, AK",298.9,Overall,White,"(63.867414, -143.22069)"
AK,"Valdez-Cordova, AK",254.2,Overall,White,"(61.536161, -144.339956)"
AK,"Yukon-Koyukuk, AK",272.0,Overall,White,"(65.50404, -151.41038)"
AK,"Anchorage, AK",317.5,Male,White,"(61.159049, -149.103905)"
AK,"Denali, AK",400.7,Male,White,"(63.678399, -149.962076)"
AK,"Fairbanks North Star, AK",401.0,Male,White,"(64.809327, -146.586265)"
AK,"Haines, AK",385.5,Male,White,"(59.140721, -135.513878)"
AK,"Juneau, AK",281.6,Male,White,"(58.478434, -134.150437)"
AK,"Kenai Peninsula, AK",353.8,Male,White,"(60.271254, -151.556972)"
AK,"Ketchikan Gateway, AK",550.9,Male,White,"(55.559161, -131.351892)"
