County,Adjusted Gross Income,Number of Returns,Total Salaries & Wages
"Autauga County, AL",Under $1,210.0,1403.0
"Autauga County, AL","1 - $9,999",3350.0,14437.0
"Autauga County, AL","10,000 - $24,999",5620.0,77486.0
"Autauga County, AL","25,000 - $49,999",5410.0,159789.0
"Autauga County, AL","50,000 - $74,999",3420.0,163864.0
"Autauga County, AL","75,000 - $99,999",2450.0,163709.0
"Autauga County, AL","100,000 - $199,999",3000.0,302302.0
"Autauga County, AL","$200,000 or more",360.0,61298.0
"Baldwin County, AL",Under $1,1710.0,13073.0
"Baldwin County, AL","1 - $9,999",13400.0,53151.0
"Baldwin County, AL","10,000 - $24,999",21380.0,267123.0
"Baldwin County, AL","25,000 - $49,999",20160.0,542282.0
"Baldwin County, AL","50,000 - $74,999",12100.0,516479.0
"Baldwin County, AL","75,000 - $99,999",8140.0,478577.0
"Baldwin County, AL","100,000 - $199,999",10800.0,963543.0
"Baldwin County, AL","$200,000 or more",3200.0,598699.0
"Barbour County, AL",Under $1,160.0,554.0
"Barbour County, AL","1 - $9,999",1600.0,7042.0
"Barbour County, AL","10,000 - $24,999",3240.0,45086.0
"Barbour County, AL","25,000 - $49,999",2460.0,71571.0
"Barbour County, AL","50,000 - $74,999",960.0,42442.0
"Barbour County, AL","75,000 - $99,999",590.0,34036.0
"Barbour County, AL","100,000 - $199,999",620.0,55680.0
"Barbour County, AL","$200,000 or more",100.0,15137.0
"Bibb County, AL",Under $1,70.0,0.0
"Bibb County, AL","1 - $9,999",1120.0,5081.0
"Bibb County, AL","10,000 - $24,999",2180.0,29615.0
"Bibb County, AL","25,000 - $49,999",2080.0,64284.0
"Bibb County, AL","50,000 - $74,999",1150.0,58270.0
"Bibb County, AL","75,000 - $99,999",680.0,47819.0
"Bibb County, AL","100,000 - $199,999",620.0,64047.0
"Bibb County, AL","$200,000 or more",80.0,11747.0
"Blount County, AL",Under $1,290.0,1479.0
"Blount County, AL","1 - $9,999",3130.0,12234.0
"Blount County, AL","10,000 - $24,999",5120.0,64161.0
"Blount County, AL","25,000 - $49,999",5680.0,168699.0
"Blount County, AL","50,000 - $74,999",3430.0,171090.0
"Blount County, AL","75,000 - $99,999",2150.0,150566.0
"Blount County, AL","100,000 - $199,999",1850.0,180518.0
"Blount County, AL","$200,000 or more",250.0,42132.0
"Bullock County, AL",Under $1,50.0,0.0
"Bullock County, AL","1 - $9,999",560.0,2516.0
"Bullock County, AL","10,000 - $24,999",1570.0,24697.0
"Bullock County, AL","25,000 - $49,999",1010.0,31280.0
"Bullock County, AL","50,000 - $74,999",350.0,15862.0
"Bullock County, AL","75,000 - $99,999",130.0,7831.0
"Bullock County, AL","100,000 - $199,999",120.0,10253.0
"Bullock County, AL","$200,000 or more",30.0,3218.0
"Butler County, AL",Under $1,90.0,0.0
"Butler County, AL","1 - $9,999",1300.0,6281.0
"Butler County, AL","10,000 - $24,999",2750.0,38817.0
"Butler County, AL","25,000 - $49,999",2180.0,66672.0
"Butler County, AL","50,000 - $74,999",930.0,43431.0
"Butler County, AL","75,000 - $99,999",510.0,31633.0
"Butler County, AL","100,000 - $199,999",470.0,43996.0
"Butler County, AL","$200,000 or more",90.0,13113.0
"Calhoun County, AL",Under $1,450.0,1420.0
"Calhoun County, AL","1 - $9,999",7500.0,33377.0
"Calhoun County, AL","10,000 - $24,999",12960.0,166031.0
"Calhoun County, AL","25,000 - $49,999",12470.0,352042.0
"Calhoun County, AL","50,000 - $74,999",6710.0,310945.0
"Calhoun County, AL","75,000 - $99,999",3790.0,242120.0
"Calhoun County, AL","100,000 - $199,999",3550.0,322551.0
"Calhoun County, AL","$200,000 or more",610.0,104697.0
"Chambers County, AL",Under $1,140.0,727.0
"Chambers County, AL","1 - $9,999",2170.0,10285.0
"Chambers County, AL","10,000 - $24,999",5200.0,83566.0
"Chambers County, AL","25,000 - $49,999",4080.0,132331.0
"Chambers County, AL","50,000 - $74,999",1630.0,81162.0
"Chambers County, AL","75,000 - $99,999",750.0,50796.0
"Chambers County, AL","100,000 - $199,999",630.0,55516.0
"Chambers County, AL","$200,000 or more",90.0,17960.0
"Cherokee County, AL",Under $1,160.0,700.0
"Cherokee County, AL","1 - $9,999",1420.0,5089.0
"Cherokee County, AL","10,000 - $24,999",2550.0,31816.0
"Cherokee County, AL","25,000 - $49,999",2270.0,63390.0
"Cherokee County, AL","50,000 - $74,999",1270.0,59654.0
"Cherokee County, AL","75,000 - $99,999",720.0,46436.0
"Cherokee County, AL","100,000 - $199,999",690.0,62097.0
"Cherokee County, AL","$200,000 or more",100.0,14548.0
"Chilton County, AL",Under $1,230.0,766.0
"Chilton County, AL","1 - $9,999",2540.0,10393.0
"Chilton County, AL","10,000 - $24,999",4800.0,63523.0
"Chilton County, AL","25,000 - $49,999",4480.0,136436.0
"Chilton County, AL","50,000 - $74,999",2390.0,119507.0
"Chilton County, AL","75,000 - $99,999",1450.0,99974.0
"Chilton County, AL","100,000 - $199,999",1370.0,136278.0
"Chilton County, AL","$200,000 or more",170.0,29540.0
"Choctaw County, AL",Under $1,50.0,0.0
"Choctaw County, AL","1 - $9,999",760.0,3572.0
"Choctaw County, AL","10,000 - $24,999",1390.0,17676.0
"Choctaw County, AL","25,000 - $49,999",1240.0,34574.0
"Choctaw County, AL","50,000 - $74,999",740.0,36902.0
"Choctaw County, AL","75,000 - $99,999",510.0,36059.0
"Choctaw County, AL","100,000 - $199,999",450.0,42660.0
"Choctaw County, AL","$200,000 or more",90.0,15491.0
"Clarke County, AL",Under $1,120.0,803.0
"Clarke County, AL","1 - $9,999",1430.0,6127.0
"Clarke County, AL","10,000 - $24,999",3050.0,39441.0
"Clarke County, AL","25,000 - $49,999",2480.0,73953.0
"Clarke County, AL","50,000 - $74,999",1250.0,62996.0
"Clarke County, AL","75,000 - $99,999",910.0,63195.0
"Clarke County, AL","100,000 - $199,999",900.0,89469.0
"Clarke County, AL","$200,000 or more",140.0,18722.0
"Clay County, AL",Under $1,70.0,0.0
"Clay County, AL","1 - $9,999",820.0,3792.0
"Clay County, AL","10,000 - $24,999",1630.0,22629.0
"Clay County, AL","25,000 - $49,999",1460.0,43395.0
"Clay County, AL","50,000 - $74,999",700.0,33659.0
"Clay County, AL","75,000 - $99,999",410.0,26779.0
"Clay County, AL","100,000 - $199,999",320.0,28527.0
"Clay County, AL","$200,000 or more",50.0,7998.0
"Cleburne County, AL",Under $1,90.0,627.0
"Cleburne County, AL","1 - $9,999",820.0,3319.0
"Cleburne County, AL","10,000 - $24,999",1440.0,18515.0
"Cleburne County, AL","25,000 - $49,999",1510.0,45755.0
"Cleburne County, AL","50,000 - $74,999",890.0,43824.0
"Cleburne County, AL","75,000 - $99,999",470.0,32928.0
"Cleburne County, AL","100,000 - $199,999",430.0,44502.0
"Cleburne County, AL","$200,000 or more",50.0,9351.0
"Coffee County, AL",Under $1,270.0,2128.0
"Coffee County, AL","1 - $9,999",2970.0,13335.0
"Coffee County, AL","10,000 - $24,999",5180.0,70592.0
"Coffee County, AL","25,000 - $49,999",4850.0,141133.0
"Coffee County, AL","50,000 - $74,999",2810.0,131545.0
"Coffee County, AL","75,000 - $99,999",1990.0,130114.0
"Coffee County, AL","100,000 - $199,999",2540.0,240056.0
"Coffee County, AL","$200,000 or more",400.0,64895.0
"Colbert County, AL",Under $1,260.0,1214.0
"Colbert County, AL","1 - $9,999",3710.0,15309.0
"Colbert County, AL","10,000 - $24,999",6070.0,75102.0
"Colbert County, AL","25,000 - $49,999",5770.0,156929.0
"Colbert County, AL","50,000 - $74,999",3240.0,147831.0
"Colbert County, AL","75,000 - $99,999",2050.0,130712.0
"Colbert County, AL","100,000 - $199,999",2170.0,207679.0
"Colbert County, AL","$200,000 or more",420.0,79599.0
"Conecuh County, AL",Under $1,100.0,342.0
"Conecuh County, AL","1 - $9,999",810.0,3704.0
"Conecuh County, AL","10,000 - $24,999",1640.0,22156.0
"Conecuh County, AL","25,000 - $49,999",1260.0,36588.0
"Conecuh County, AL","50,000 - $74,999",540.0,26425.0
"Conecuh County, AL","75,000 - $99,999",280.0,17679.0
"Conecuh County, AL","100,000 - $199,999",250.0,22156.0
"Conecuh County, AL","$200,000 or more",30.0,4758.0
"Coosa County, AL",Under $1,50.0,0.0
"Coosa County, AL","1 - $9,999",550.0,2341.0
"Coosa County, AL","10,000 - $24,999",1130.0,15737.0
"Coosa County, AL","25,000 - $49,999",1170.0,34763.0
"Coosa County, AL","50,000 - $74,999",540.0,25451.0
"Coosa County, AL","75,000 - $99,999",290.0,18428.0
"Coosa County, AL","100,000 - $199,999",240.0,20352.0
"Coosa County, AL","$200,000 or more",30.0,5973.0
"Covington County, AL",Under $1,250.0,1183.0
"Covington County, AL","1 - $9,999",2400.0,10131.0
"Covington County, AL","10,000 - $24,999",4340.0,58101.0
"Covington County, AL","25,000 - $49,999",3630.0,102524.0
"Covington County, AL","50,000 - $74,999",1810.0,82527.0
"Covington County, AL","75,000 - $99,999",1090.0,70841.0
"Covington County, AL","100,000 - $199,999",1180.0,117337.0
"Covington County, AL","$200,000 or more",310.0,60373.0
"Crenshaw County, AL",Under $1,80.0,0.0
"Crenshaw County, AL","1 - $9,999",840.0,3912.0
"Crenshaw County, AL","10,000 - $24,999",1670.0,23271.0
"Crenshaw County, AL","25,000 - $49,999",1650.0,50006.0
"Crenshaw County, AL","50,000 - $74,999",690.0,34187.0
"Crenshaw County, AL","75,000 - $99,999",410.0,27636.0
"Crenshaw County, AL","100,000 - $199,999",340.0,33005.0
"Crenshaw County, AL","$200,000 or more",80.0,10558.0
"Cullman County, AL",Under $1,520.0,1783.0
"Cullman County, AL","1 - $9,999",5120.0,20209.0
"Cullman County, AL","10,000 - $24,999",8170.0,103959.0
"Cullman County, AL","25,000 - $49,999",8840.0,263421.0
"Cullman County, AL","50,000 - $74,999",4620.0,224832.0
"Cullman County, AL","75,000 - $99,999",2790.0,193729.0
"Cullman County, AL","100,000 - $199,999",2640.0,256462.0
"Cullman County, AL","$200,000 or more",560.0,102888.0
"Dale County, AL",Under $1,270.0,1489.0
"Dale County, AL","1 - $9,999",2920.0,13331.0
"Dale County, AL","10,000 - $24,999",5540.0,74821.0
"Dale County, AL","25,000 - $49,999",5170.0,151239.0
"Dale County, AL","50,000 - $74,999",2700.0,129857.0
"Dale County, AL","75,000 - $99,999",1680.0,112019.0
"Dale County, AL","100,000 - $199,999",1620.0,149947.0
"Dale County, AL","$200,000 or more",180.0,26323.0
"Dallas County, AL",Under $1,180.0,469.0
"Dallas County, AL","1 - $9,999",2450.0,12114.0
"Dallas County, AL","10,000 - $24,999",6540.0,95847.0
"Dallas County, AL","25,000 - $49,999",3980.0,121386.0
"Dallas County, AL","50,000 - $74,999",1590.0,75486.0
"Dallas County, AL","75,000 - $99,999",750.0,46274.0
"Dallas County, AL","100,000 - $199,999",820.0,70836.0
"Dallas County, AL","$200,000 or more",190.0,28156.0
