County,Number of Mcdonalds
"Ada County, ID",30
"Adams County, CO",50
"Adams County, IL",4
"Adams County, MS",3
"Adams County, ND",1
"Adams County, NE",3
"Alameda County, CA",50
"Alcona County, MI",6
"Allegan County, MI",47
"Anoka County, MN",50
"Antrim County, MI",12
"Appling County, GA",5
"Arapahoe County, CO",50
"Arenac County, MI",6
"Ashe County, NC",9
"Assumption Parish, LA",23
"Atascosa County, TX",31
"Aurora County, SD",2
"Baca County, CO",1
"Bailey County, TX",6
"Baker County, FL",27
"Barbour County, AL",4
"Barnwell County, SC",15
"Bartholomew County, IN",4
"Barton County, MO",11
"Bath County, KY",8
"Beltrami County, MN",2
"Benewah County, ID",1
"Bent County, CO",2
"Berrien County, MI",29
"Bexar County, TX",50
"Big Stone County, MN",1
"Billings County, ND",1
"Bingham County, ID",12
"Bledsoe County, TN",18
"Blount County, TN",45
"Bond County, IL",2
"Bossier Parish, LA",43
"Bottineau County, ND",3
"Box Elder County, UT",18
"Bracken County, KY",3
"Bradley County, TN",34
"Bristol County, MA",49
"Bristol County, RI",9
"Bronx County, NY",49
"Brooks County, TX",1
"Broward County, FL",50
"Brown County, WI",28
"Brule County, SD",1
"Buena Vista County, IA",3
"Butler County, KS",28
"Butler County, PA",34
"Cache County, UT",30
"Caddo Parish, LA",45
"Calumet County, WI",26
"Camden County, GA",16
"Camden County, NJ",50
"Cameron County, PA",3
"Cameron County, TX",22
"Cameron Parish, LA",33
"Campbell County, SD",1
"Campbell County, TN",29
"Caroline County, VA",41
"Carroll County, IL",9
"Carroll County, OH",38
"Carson County, TX",6
"Carteret County, NC",24
"Cassia County, ID",7
"Cavalier County, ND",1
"Charles County, MD",50
"Chatham County, GA",33
"Chaves County, NM",7
"Chelan County, WA",5
"Cherokee County, KS",14
"Cherokee County, OK",9
"Chester County, TN",12
"Chicot County, AR",4
"Churchill County, NV",5
"Clare County, MI",10
"Clarendon County, SC",8
"Clark County, MO",2
"Clarke County, AL",23
"Clay County, FL",50
"Clay County, IN",14
"Clay County, KY",10
"Clay County, TN",8
"Clearwater County, MN",4
"Cleburne County, AR",6
"Clinch County, GA",3
"Clinton County, PA",30
"Coffee County, GA",5
"Colbert County, AL",11
"Comal County, TX",50
"Cooke County, TX",8
"Coos County, OR",9
"Corson County, SD",1
"Cottle County, TX",1
"Cottonwood County, MN",2
"Covington County, AL",4
"Craighead County, AR",8
"Crawford County, IA",2
"Crawford County, MO",8
"Crisp County, GA",3
"Cumberland County, KY",2
"Cumberland County, PA",49
"Curry County, NM",4
"Dallas County, IA",32
"Darke County, OH",27
"Daviess County, MO",4
"Day County, SD",1
"DeKalb County, AL",10
"DeKalb County, TN",17
"Del Norte County, CA",6
"Dent County, MO",4
"Des Moines County, IA",5
"Deuel County, SD",2
"Dickens County, TX",1
"Dickinson County, MI",2
"Dickson County, TN",24
"Dodge County, NE",4
"Douglas County, GA",26
"Douglas County, OR",22
"Dunklin County, MO",7
"Dunn County, ND",1
"Dunn County, WI",9
"Eastland County, TX",3
"Echols County, GA",10
"Edmunds County, SD",2
"Edwards County, IL",2
"Edwards County, KS",1
"Effingham County, IL",7
"Elliott County, KY",1
"Essex County, MA",50
"Fairfax County, VA",12
"Fairfield County, CT",49
"Fallon County, MT",1
"Falls County, TX",18
"Faribault County, MN",2
"Ferry County, WA",2
"Fillmore County, MN",2
"Floyd County, IA",5
"Floyd County, VA",18
"Fluvanna County, VA",9
"Forrest County, MS",11
"Franklin County, FL",27
"Franklin County, IA",5
"Franklin County, IN",32
"Franklin County, KY",7
"Franklin County, NC",50
"Franklin County, NY",15
"Franklin County, VT",13
"Frederick County, VA",24
"Freestone County, TX",7
"Fremont County, ID",3
"Fulton County, AR",6
"Garfield County, CO",10
"Garfield County, MT",1
"Garfield County, NE",1
"Garrard County, KY",34
"Garza County, TX",2
"Gaston County, NC",50
"Gates County, NC",12
"Gilchrist County, FL",18
"Giles County, TN",13
"Goliad County, TX",8
"Graham County, KS",1
"Graham County, NC",15
"Grant County, OR",1
"Green Lake County, WI",10
"Greene County, AL",5
"Greene County, IA",2
"Greene County, IN",12
"Greensville County, VA",7
"Greenville County, SC",50
"Greer County, OK",2
"Grundy County, IA",11
"Guilford County, NC",49
"Gulf County, FL",8
"Hall County, NE",4
"Hamilton County, KS",1
"Hancock County, IL",6
"Hancock County, MS",26
"Hardeman County, TN",8
"Hardin County, OH",21
"Harlan County, KY",5
"Harris County, GA",25
"Harrison County, IA",10
"Harrison County, OH",21
"Hart County, KY",15
"Harvey County, KS",34
"Haskell County, KS",2
"Hawaii County, HI",9
"Haywood County, NC",26
"Henderson County, TN",11
